"","...1","method","wavelength1","value","plate","sampling","treatment","temperature","nut","rep","treatmentID","log","N0","K","r","pK","pr"
"1",115,"OD",440,0.063,"all",9,"MIX",12,"HI",1,"MIX_12_HI_1",-2.7646205525906,0.0398732467438093,0.0919814916941657,0.124650866988533,4.22657437408228e-07,0.00162115632792564
"2",150,"OD",440,0.062,"all",9,"MIX",12,"HI",2,"MIX_12_HI_2",-2.78062089393705,0.0380428730320273,0.0772823273681005,0.182435940241035,3.85461795332308e-09,0.00823453831484292
"3",185,"OD",440,0.063,"all",9,"MIX",12,"HI",3,"MIX_12_HI_3",-2.7646205525906,0.0377520470915544,0.0783270691336495,0.200834126035476,1.3331311431563e-08,0.0215521784147607
"4",14,"OD",440,0.086,"all",9,"MIX",12,"Low",1,"MIX_12_Low_1",-2.45340798272863,0.0292211233392717,0.0852618526791339,0.689892439247022,1.69932351146304e-14,0.02074979839216
"5",45,"OD",440,0.072,"all",9,"MIX",12,"Low",2,"MIX_12_Low_2",-2.63108915996608,0.0401154636851796,0.0733980452079984,0.410057168579456,6.75861375791068e-17,0.00202079846945728
"6",80,"OD",440,0.075,"all",9,"MIX",12,"Low",3,"MIX_12_Low_3",-2.59026716544583,0.0329237673932633,0.0752038688629376,0.526156688100401,9.0849180778719e-17,0.00168741072105192
"7",116,"OD",440,0.075,"all",9,"MIX",15,"HI",1,"MIX_15_HI_1",-2.59026716544583,0.0361952993114906,0.086727470188324,0.206818114189953,3.96671306739009e-12,5.86852943605907e-05
"8",151,"OD",440,0.068,"all",9,"MIX",15,"HI",2,"MIX_15_HI_2",-2.68824757380603,0.0354074784325164,0.0872474240752504,0.183348734000681,3.64750719198371e-09,0.00112513140281637
"9",186,"OD",440,0.068,"all",9,"MIX",15,"HI",3,"MIX_15_HI_3",-2.68824757380603,0.0352655986822636,0.0867351625952381,0.211593970419538,2.31544707462243e-08,0.0103808848218397
"10",15,"OD",440,0.098,"all",9,"MIX",15,"Low",1,"MIX_15_Low_1",-2.32278780031156,0.0377942544814956,0.108182512255635,0.459009605247108,5.13568347067638e-14,0.00292545478458125
"11",46,"OD",440,0.082,"all",9,"MIX",15,"Low",2,"MIX_15_Low_2",-2.50103603171788,0.0348415218734002,0.0861282380741733,0.35158128974905,1.72943692240195e-14,0.00044045197163064
"12",81,"OD",440,0.079,"all",9,"MIX",15,"Low",3,"MIX_15_Low_3",-2.53830742651512,0.0360338943616561,0.0931100772776611,0.255246359889572,4.70375158134611e-11,0.00134545377393512
"13",117,"OD",440,0.073,"all",9,"MIX",18,"HI",1,"MIX_18_HI_1",-2.61729583783375,0.0363694559029935,0.0893754613039539,0.268753959799653,1.00981691389526e-10,0.00495712848898146
"14",152,"OD",440,0.074,"all",9,"MIX",18,"HI",2,"MIX_18_HI_2",-2.60369018577797,0.0318976520889573,0.0843047215242926,0.307576426116422,3.31548221599089e-12,0.0014670140884169
"15",187,"OD",440,0.083,"all",9,"MIX",18,"HI",3,"MIX_18_HI_3",-2.48891467118554,0.0315032431339846,0.0875144125423015,0.325163465857385,8.41682596333722e-11,0.00855368237671828
"16",16,"OD",440,0.107,"all",9,"MIX",18,"Low",1,"MIX_18_Low_1",-2.23492644452023,NA,NA,NA,NA,NA
"17",47,"OD",440,0.085,"all",9,"MIX",18,"Low",2,"MIX_18_Low_2",-2.46510402249182,0.0306839187765255,0.0854639982885369,0.538669976677772,2.72906212029747e-14,0.00804969028625849
"18",82,"OD",440,0.085,"all",9,"MIX",18,"Low",3,"MIX_18_Low_3",-2.46510402249182,0.0350871020114518,0.090579645144259,0.396799103442585,4.39182129796261e-13,0.00545272047724076
"19",153,"OD",440,0.114,"all",9,"MIX",21,"HI",1,"MIX_21_HI_1",-2.17155683058764,0.0302179239033301,0.129751873147945,0.275311057947463,7.40472591295323e-12,1.08517535677647e-05
"20",188,"OD",440,0.11,"all",9,"MIX",21,"HI",2,"MIX_21_HI_2",-2.20727491318972,0.027513139721161,0.153375958275336,0.29568147793249,2.89785176103958e-12,2.08462829908029e-06
"21",48,"OD",440,0.122,"all",9,"MIX",21,"Low",1,"MIX_21_Low_1",-2.10373423424888,0.0247678097339988,0.107586167793127,0.641030842245612,1.0350469938805e-12,0.0154184326473179
"22",83,"OD",440,0.117,"all",9,"MIX",21,"Low",2,"MIX_21_Low_2",-2.14558134418438,0.0198276906404138,0.109439046996767,0.717420773515515,5.07698260305473e-14,0.00359512973156482
"23",118,"OD",440,0.121,"all",9,"MIX",21,"Low",3,"MIX_21_Low_3",-2.1119647333854,NA,NA,NA,NA,NA
"24",114,"OD",440,0.062,"all",9,"MIX",9,"HI",1,"MIX_9_HI_1",-2.78062089393705,0.0399627760614289,0.184003992559436,0.0711559127597328,0.113740103401779,0.00795931675671261
"25",149,"OD",440,0.06,"all",9,"MIX",9,"HI",2,"MIX_9_HI_2",-2.81341071676004,0.0416607909333387,0.122767279139517,0.0864326465468921,0.239143353988813,0.296936670891636
"26",184,"OD",440,0.077,"all",9,"MIX",9,"HI",3,"MIX_9_HI_3",-2.56394985712845,0.0349964542081055,0.0979835968138925,0.162906580950219,1.15091222391956e-05,0.0128541419991566
"27",13,"OD",440,0.089,"all",9,"MIX",9,"Low",1,"MIX_9_Low_1",-2.41911890925,0.0341751385584347,0.0933588753772619,0.331682779417826,1.38914904142095e-11,0.00476138235608391
"28",44,"OD",440,0.072,"all",9,"MIX",9,"Low",2,"MIX_9_Low_2",-2.63108915996608,0.036146969833645,0.076326761003357,0.352211296517059,5.52879882701081e-14,0.00398233454014157
"29",79,"OD",440,0.078,"all",9,"MIX",9,"Low",3,"MIX_9_Low_3",-2.55104645229255,0.0341576751357212,0.076551638146863,0.463039727430096,6.66729556281817e-15,0.00665608154232432
"30",3660,"OD",440,0.105,"all",9,"pulse",21,"Low",3,"pulse_21_Low_3",-2.25379492882461,0.0267644812781324,0.102305186173075,0.589531191068693,6.34228182810763e-15,0.00129368623283211
"31",3692,"OD",440,0.065,"all",9,"pulse",12,"HI",1,"pulse_12_HI_1",-2.7333680090865,0.0381717796610634,0.0900740547935191,0.152959962294876,7.82689840946621e-08,0.00225624015290148
"32",3727,"OD",440,0.063,"all",9,"pulse",12,"HI",2,"pulse_12_HI_2",-2.7646205525906,0.0393093079866309,0.100862307645407,0.10137850000834,0.00356976473994752,0.0450137444886993
"33",3762,"OD",440,0.068,"all",9,"pulse",12,"HI",3,"pulse_12_HI_3",-2.68824757380603,0.0363202255762178,0.0824180028271998,0.184534598062309,1.97682364718968e-10,0.000493645272172012
"34",3587,"OD",440,0.082,"all",9,"pulse",12,"Low",1,"pulse_12_Low_1",-2.50103603171788,0.0281595045790999,0.0890619579919214,0.704026289530113,3.89607795445206e-15,0.00876385838646423
"35",3622,"OD",440,0.077,"all",9,"pulse",12,"Low",2,"pulse_12_Low_2",-2.56394985712845,0.0356988751460826,0.0755346934049022,0.552136601059067,6.05156760588899e-17,0.00391824562931822
"36",3657,"OD",440,0.072,"all",9,"pulse",12,"Low",3,"pulse_12_Low_3",-2.63108915996608,0.0391873595396995,0.076171312246715,0.382080198549059,1.42135948317314e-16,0.000771589362923515
"37",3693,"OD",440,0.077,"all",9,"pulse",15,"HI",1,"pulse_15_HI_1",-2.56394985712845,0.0364779465055488,0.101656474320365,0.170792315250249,7.86797029316622e-08,0.00109178845550675
"38",3728,"OD",440,0.061,"all",9,"pulse",15,"HI",2,"pulse_15_HI_2",-2.79688141480883,0.038092461887229,0.102578022286328,0.127937056821411,0.0171320298904828,0.167412294160619
"39",3763,"OD",440,0.072,"all",9,"pulse",15,"HI",3,"pulse_15_HI_3",-2.63108915996608,0.0343435030133916,0.0935113133921808,0.226821697416421,2.31412715644909e-09,0.00253162699484118
"40",3588,"OD",440,0.091,"all",9,"pulse",15,"Low",1,"pulse_15_Low_1",-2.39689577246529,0.0254459802572597,0.0999070430162272,0.647738992664032,6.72546353886679e-15,0.00237890732653061
"41",3623,"OD",440,0.078,"all",9,"pulse",15,"Low",2,"pulse_15_Low_2",-2.55104645229255,0.0289030805741274,0.0851176813511622,0.542447365647608,8.55450720159787e-14,0.0102214756876053
"42",3658,"OD",440,0.079,"all",9,"pulse",15,"Low",3,"pulse_15_Low_3",-2.53830742651512,0.0337515857956601,0.0855379583356815,0.362912070107407,2.37783837700774e-14,0.000584973636447078
"43",3694,"OD",440,0.079,"all",9,"pulse",18,"HI",1,"pulse_18_HI_1",-2.53830742651512,0.0291174278810476,0.0914530684183968,0.362436027073973,1.57892934671891e-10,0.0124574489881812
"44",3729,"OD",440,0.078,"all",9,"pulse",18,"HI",2,"pulse_18_HI_2",-2.55104645229255,0.0309244532373636,0.087119848585682,0.317015316265797,2.48310760476694e-12,0.000981961476203043
"45",3764,"OD",440,0.081,"all",9,"pulse",18,"HI",3,"pulse_18_HI_3",-2.5133061243097,0.0273120086270355,0.100351180554225,0.34941528328126,1.25705678364977e-09,0.0111246303374018
"46",3589,"OD",440,0.118,"all",9,"pulse",18,"Low",1,"pulse_18_Low_1",-2.13707065451647,NA,NA,NA,NA,NA
"47",3624,"OD",440,0.088,"all",9,"pulse",18,"Low",2,"pulse_18_Low_2",-2.43041846450393,0.0384154787097066,0.139857673369948,0.203289147488083,3.18311631394116e-06,0.00628263692021407
"48",3659,"OD",440,0.086,"all",9,"pulse",18,"Low",3,"pulse_18_Low_3",-2.45340798272863,0.0297379277544075,0.0928451299256256,0.494887699730896,2.8598303000554e-12,0.0185768143582492
"49",3695,"OD",440,0.095,"all",9,"pulse",21,"HI",1,"pulse_21_HI_1",-2.3538783873816,0.0291486432057145,0.112922737646042,0.333448710441171,1.32805518900791e-10,0.00183175798742997
"50",3730,"OD",440,0.089,"all",9,"pulse",21,"HI",2,"pulse_21_HI_2",-2.41911890925,0.0319645394008175,0.12188913463219,0.279017187293266,2.13075176863481e-08,0.00576238745701591
"51",3765,"OD",440,0.096,"all",9,"pulse",21,"HI",3,"pulse_21_HI_3",-2.3434070875143,0.0384154787097066,0.139857673369948,0.203289147488083,3.18311631394116e-06,0.00628263692021407
"52",3590,"OD",440,0.149,"all",9,"pulse",21,"Low",1,"pulse_21_Low_1",-1.90380897303668,0.0349964542081055,0.0979835968138925,0.162906580950219,1.15091222391956e-05,0.0128541419991566
"53",3625,"OD",440,0.118,"all",9,"pulse",21,"Low",2,"pulse_21_Low_2",-2.13707065451647,0.0255704274937192,0.110161982344994,0.556203326904203,1.15959447990054e-12,0.00712588154440979
"54",3691,"OD",440,0.067,"all",9,"pulse",9,"HI",1,"pulse_9_HI_1",-2.70306265959117,0.0393716598819123,0.0860531138444144,0.150797152013216,3.75444202819642e-08,0.00305270300430321
"55",3726,"OD",440,0.062,"all",9,"pulse",9,"HI",2,"pulse_9_HI_2",-2.78062089393705,0.0445197854180284,0.484470871098494,0.0423040877250163,0.873589192179621,0.300623429384177
"56",3761,"OD",440,0.069,"all",9,"pulse",9,"HI",3,"pulse_9_HI_3",-2.67364877438488,0.0376716735892956,0.167972229814893,0.0890458843288343,0.276721038637432,0.118247021965165
"57",3586,"OD",440,0.102,"all",9,"pulse",9,"Low",1,"pulse_9_Low_1",-2.28278246569787,0.0351976335593484,0.108685474133721,0.263780637200999,3.38115106023117e-06,0.0771655347472829
"58",3621,"OD",440,0.073,"all",9,"pulse",9,"Low",2,"pulse_9_Low_2",-2.61729583783375,0.0367134645064901,0.0780364195050285,0.290301352576625,1.15048769628511e-15,4.88033861885582e-05
"59",3656,"OD",440,0.08,"all",9,"pulse",9,"Low",3,"pulse_9_Low_3",-2.52572864430826,0.0326156539424817,0.0800459968843623,0.491095809135559,2.36915503954491e-15,0.00304956768554712
